value,time
42.0016129,1
42.3,2
39.79193548,3
35.80833333,4
29.59193548,5
27.62333333,6
28.47903226,7
31.6016129,8
31.85166667,9
31.40322581,10
31.65666667,11
38.82741935,12
40.95645161,1
40.09464286,2
36.56612903,3
32.19166667,4
28.86612903,5
27.15833333,6
27.15645161,7
27.97741935,8
30.155,9
28.94354839,10
31.095,11
35.4516129,12
38.77548387,1
37.35310345,2
34.44322581,3
32.436,4
29.3316129,5
29.052,6
27.55225806,7
29.27225806,8
29.32733333,9
35.91548387,10
34.29,11
37.02322581,12
38.65290323,1
40.77285714,2
38.27096774,3
34.51733333,4
30.43935484,5
29.358,6
28.70580645,7
30.03225806,8
30.472,9
32.7716129,10
34.85066667,11
37.19548387,12
38.76193548,1
37.03214286,2
38.85225806,3
34.90866667,4
31.29483871,5
30.52266667,6
28.15741935,7
32.2116129,8
30.274,9
36.9516129,10
37.092,11
38.34967742,12
38.73096774,1
40.74214286,2
36.43096774,3
33.876,4
29.48774194,5
30.27466667,6
28.85096774,7
27.4,8
29.74,9
32.26064516,10
35.50333333,11
37.9116129,12
35.8283871,1
34.66965517,2
34.30258065,3
33.88333333,4
29.83548387,5
28.3,6
27.13032258,7
28.98322581,8
33.23666667,9
32.68967742,10
34.418,11
35.68580645,12
37.60322581,1
35.625,2
35.99419355,3
34.716,4
31.30580645,5
29.488,6
27.52709677,7
31.09483871,8
29.41666667,9
36.78322581,10
32.92866667,11
33.93612903,12
38.81354839,1
40.18571429,2
36.5516129,3
32.12066667,4
27.94129032,5
27.89266667,6
28.9116129,7
30.46322581,8
30.46166667,9
32.71290323,10
34.57333333,11
36.97096774,12
38.77032258,1
38.10857143,2
38.48516129,3
34.91266667,4
30.13870968,5
30.34,6
28.98709677,7
30.1,8
31.847,9
34.25967742,10
34.315,11
37.04516129,12
35.71774194,1
38.08275862,2
35.96451613,3
34.09833333,4
29.34677419,5
28.51833333,6
27.92258065,7
29.50967742,8
28.66666667,9
33.45967742,10
31.10333333,11
33.44677419,12
37.88870968,1
39.83214286,2
36.94354839,3
31.69666667,4
30.43870968,5
27.16666667,6
28.12419355,7
29.09516129,8
33.425,9
32.25483871,10
40.75333333,11
37.70806452,12
